# harbour-strokecat 5-stroke dictionary
# format: <char>	<code>	<freq>
# code: 1=横 2=竖 3=撇 4=捺(含点) 5=折(含勾)
# sources: RIME stroke.dict.yaml + jieba freq
横	123412212512134	4321
始	53154251	4321
亮	412514535	4307
套	1341211154	4300
興	2512513211511134	4294
兴	443134	4294
步	2121233	4285
雪	14524434511	4284
仙	32252	4284
倍	3241431251	4282
汗	444112	4274
耳	122111	4244
格	1234354251	4237
忌	5154544	4236
核	1234415334	4229
纵	5513434	4220
縱	55444433234342134	4220
器	2512511344251251	4219
藕	122111234251125214	4215
遂	431353334454	4209
玩	11211135	4207
练	55115534	4197
練	554444125431234	4197
罪	2522121112111	4177
蓋	1221215425221	4175
盖	43112125221	4175
距	25121211515	4166
寨	44511221341234	4159
嚇	25112132341213234	4156
吓	251124	4156
乘	3122111534	4150
厅	1312	4146
廳	4131221111121122522114544	4146
嘆	25112212511134	4144
叹	25154	4144
祭	35415411234	4139
恨	424511534	4139
屽	252112	4132
詔	411125153251	4127
诏	4553251	4127
僭	32153515352511	4123
斯	122111343312	4120
吹	2513534	4119
虚	21531522431	4112
虛	215315225211	4112
汤	441533	4099
湯	444251113533	4099
够	35251354354	4088
夠	35435435251	4088
訊	4111251512	4086
讯	45251	4086
姊	5313523	4076
夫	1134	4074
弦	51541554	4072
环	11211324	4066
環	11212522112513534	4066
精	43123411213511	4066
戶	3351	4053
户	4513	4053
揮	151451251112	4046
挥	151451512	4046
爬	33245215	4046
豈	2521251431	4042
岂	252515	4042
奏	111341134	4034
持	121121124	4025
鏄	3411243112511214154	4025
億	324143125114544	4023
亿	325	4023
夜	41323544	4020
源	4441332511534	4016
围	2511521	4010
圍	255212511521	4010
局	5135251	4001
聖	1221112511121	3999
圣	54121	3999
懂	442122312511211	3998
存	132521	3981
秒	312342343	3981
念	34154544	3978
娘	5314511534	3971
骨	255452511	3946
插	151112321511	3939
献	1225431121344	3934
獻	21531512512543121344	3934
境	12141431251135	3916
竹	312312	3911
密	44545443252	3911
僧	32432524312511	3908
酸	12535115435354	3899
煙	4334125351121	3894
烟	4334251341	3894
超	121213453251	3870
蘇	1223525121444431234	3869
苏	1225344	3869
蛋	52134251214	3862
隔	521251254312	3859
商	41432535251	3853
排	15131112111	3852
堂	24345251121	3849
盘	33544125221	3846
盤	335441355425221	3846
皇	325111121	3844
圓	2525125111341	3841
圆	2525125341	3841
爭	34435115	3841
争	355115	3841
偏	32335125122	3833
顾	1355132534	3823
顧	335132411121132511134	3823
狗	35335251	3801
爾	13425234343434	3788
尔	35234	3788
雞	344355413432411121	3779
鸡	5435451	3779
脱	35114325135	3778
脫	35413425135	3778
湘	441123425111	3778
撞	151414312511121	3773
工	121	3771
结	551121251	3761
結	554444121251	3761
帝	414345252	3756
篇	314314451325122	3750
挺	121312154	3742
犯	35355	3742
波	44435254	3739
告	3121251	3737
軟	12511123534	3730
软	15213534	3730
罗	25221354	3730
羅	2522155444432411121	3730
千	312	3728
纸	5513515	3727
紙	5544443515	3727
試	4111251112154	3723
试	45112154	3723
然	354113444444	3720
夢	1222522145354	3719
梦	12341234354	3719
鬆	121115433312343454	3715
松	12343454	3715
遼	134432511234454	3713
辽	52454	3713
旗	41533112211134	3704
绿	55151124134	3701
綠	55444455154434	3701
痛	413445435112	3680
准	4132411121	3672
準	4413241112112	3672
志	1214544	3667
槸	123412135121354	3667
樂	325115545541234	3667
乐	35234	3667
失	31134	3661
害	4451112251	3654
陪	5241431251	3654
啥	25134112251	3651
致	154121354	3645
基	12211134121	3644
躲	3251113351234	3628
證	4111251543341251431	3628
证	4512121	3628
确	132513535121	3623
確	132514532411121	3623
逼	125125121454	3617
政	121213134	3607
丁	15	3607
烤	4334121315	3606
艦	33541412512531125221	3600
舰	3354412535	3600
炮	433435515	3599
社	4524121	3573
钟	311152512	3570
鍾	34112431312511121	3570
咬	251413434	3558
糖	4315344135112251	3550
勸	1222512513241112153	3543
劝	5453	3543
宜	44525111	3533
腰	3541125221531	3532
榪	12341211254444	3505
杩	1234551	3505
灭	14334	3504
箭	314314431251122	3504
滅	4411314334534	3504
側	32251113425	3498
侧	32253425	3498
尋	511121251154	3495
寻	511154	3495
躺	325111324325251	3481
襄	41251251112213534	3478
角	3535112	3477
恩	2513414544	3475
哦	2513151543	3470
跪	2512121351355	3466
遇	251125214454	3465
澶	4444125251125111	3462
谷	3434251	3461
猛	35352125221	3459
印	35152	3458
異	25121122134	3455
异	515132	3455
拖	15131525	3454
糧	431534251112511121	3454
粮	4315344511534	3454
韩	122511121152	3448
韓	12251112521251152	3448
查	123425111	3443
嘛	25141312341234	3437
灯	433415	3427
燈	4334543341251431	3427
抗	1214135	3426
伸	3225112	3417
店	41321251	3417
阳	522511	3406
陽	52251113533	3406
陣	521251112	3405
阵	521512	3405
兄	25135	3402
帳	25221111534	3376
帐	2523154	3376
编	551451325122	3374
編	554444451325122	3374
智	311342512511	3359
沿	44435251	3356
操	1512512512511234	3353
載	1211251112543	3349
载	1211521543	3349
暗	2511414312511	3348
靈	145241342512512511234341	3339
灵	5114334	3339
百	132511	3336
遭	12512212511454	3334
移	31234354354	3331
砍	132513534	3318
郭	4125152152	3318
养	431113432	3311
養	43111344511534	3311
胡	122513544	3307
呼	25134315	3306
般	3354143554	3306
托	121315	3283
託	4111251315	3283
宗	44511234	3281
衣	413534	3280
仗	32134	3272
艘	335414321511254	3265
盛	13554325221	3260
補	452341251124	3259
补	4523424	3259
幺	554	3254
吾	1251251	3250
笔	3143143115	3249
筆	314314511112	3249
費	515322511134	3247
费	515322534	3247
柄	123412534	3239
瓦	1554	3228
敗	25111343134	3221
败	25343134	3221
簡	314314251125112511	3221
拱	151122134	3217
弟	4351523	3217
岭	25234154	3212
嶺	25234454132511134	3212
毕	151512	3209
畢	2511122112	3209
床	4131234	3204
牀	52131234	3204
洗	441312135	3202
止	2121	3196
飲	341511543534	3189
饮	3553534	3189
牌	321532511312	3184
爹	3434354354	3182
勁	155512153	3175
劲	5412153	3175
碗	1325144535455	3174
爺	343412211152	3172
爷	343452	3172
魔	41312341234325113554	3172
君	5113251	3153
孔	5215	3142
惡	121551214544	3136
恶	1224314544	3136
洲	441434242	3128
术	12344	3122
術	33212354115	3122
奖	442354134	3122
獎	521335441241344	3122
涔	4412523415	3116
棣	123451154434	3115
哼	2514125152	3113
夺	134124	3112
奪	13432411121154	3112
豬	135333412132511	3108
猪	35312132511	3108
搭	121122341251	3107
